price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
13100000.0,3.0,44992,32767,5418787864,3,1,False,2019-05-07 16:55:21.000,90,60012667,10000002,30000180,6,
38990000.0,1.0,44992,32767,5420843142,1,1,False,2019-05-11 17:32:38.000,14,60003760,10000002,30000142,0,
42470150.0,1.0,44992,32767,5414692231,1,1,False,2019-05-13 11:19:03.000,90,1028858195912,10000002,30000144,1,
42703500.06,10.0,44992,32767,5414690879,10,1,False,2019-05-01 21:48:51.000,90,60003760,10000002,30000142,0,
100000000.0,1.0,44992,32767,5412748891,1,1,False,2019-04-28 19:02:34.000,90,60003760,10000002,30000142,0,
450000000.0,1.0,44992,32767,5411147039,1,1,False,2019-04-26 15:26:58.000,90,60003760,10000002,30000142,0,
500000000.0,1.0,44992,32767,5401761580,1,1,False,2019-04-12 07:46:52.000,90,60003760,10000002,30000142,0,
1500000000.0,1.0,44992,32767,5387041116,1,1,False,2019-03-21 07:37:39.000,90,1028858195912,10000002,30000144,1,
1999999999.0,1.0,44992,32767,5397889126,1,1,False,2019-04-06 11:50:05.000,90,60003760,10000002,30000142,0,
2500000000.0,1.0,44992,32767,5397888302,1,1,False,2019-04-06 11:48:10.000,90,60003760,10000002,30000142,0,
2500000000.0,1.0,44992,32767,5397888451,1,1,False,2019-04-06 11:48:29.000,90,60003760,10000002,30000142,0,
2999999998.89,1.0,44992,32767,5385618277,1,1,False,2019-05-11 22:00:05.000,90,1028858195912,10000002,30000144,1,
2999999999.0,1.0,44992,32767,5380092110,1,1,False,2019-03-10 22:16:17.000,90,60003760,10000002,30000142,0,
3000000000.0,1.0,44992,32767,5397888798,1,1,False,2019-04-06 11:49:18.000,90,60003760,10000002,30000142,0,
3290513154.57,1.0,44992,32767,5373614147,1,1,False,2019-03-02 03:09:39.000,90,60003760,10000002,30000142,0,
3334120300.0,1.0,44992,32767,5397888054,1,1,False,2019-04-06 11:47:35.000,90,60003760,10000002,30000142,0,
3500000000.0,1.0,44992,32767,5397888996,1,1,False,2019-04-06 11:49:45.000,90,60003760,10000002,30000142,0,
4139999999.99,1.0,44992,32767,5397174893,1,1,False,2019-04-08 17:15:40.000,90,60003760,10000002,30000142,0,
4140000000.0,1.0,44992,32767,5405420705,1,1,False,2019-04-17 17:02:46.000,90,60003469,10000002,30000142,0,
4217000005.0,1.0,44992,32767,5415559447,1,1,False,2019-05-05 07:54:52.000,90,60003760,10000002,30000142,0,
4306000000.0,1.0,44992,32767,5387701238,1,1,False,2019-04-25 09:34:49.000,90,1028858195912,10000002,30000144,1,
4326000000.0,1.0,44992,32767,5387025778,1,1,False,2019-05-06 04:35:30.000,90,60003760,10000002,30000142,0,
